PMID,titre,date,note,resume,journal,lien_journal
39743726,Proteomics reveals the key transcription-related factors mediating obstructive nephropathy in pediatric patients and mice.,12/2025,0.553,"BACKGROUND: Obstructive nephropathy is one of the leading causes of kidney injury in infants and children. Increasing evidence has shown that transcription-related factors (TRFs), including transcription factors and cofactors, are associated with kidney diseases. However, a global landscape of dysregulated TRFs in pediatric patients with obstructive nephropathy is lacking. METHODS: We mined the data from our previous proteomic study for the TRF profile in pediatric patients with obstructive nephropathy and unilateral ureteral obstruction (UUO) mice. Gene ontology (GO) analysis was performed to determine pathways that were enriched in the dysregulated TRFs. We then took advantage of kidney samples from patients and UUO mice to verify the selected TRFs by immunoblots. RESULTS: The proteomes identified a total of 140 human TRFs with 28 upregulated and 1 downregulated, and 160 murine TRFs with 88 upregulated and 1 downregulated (fold change >2 or <0.5). These dysregulated TRFs were enriched in the inflammatory signalings, such as janus kinase/signal transducer and activator of transcription (JAK-STAT) and tumor necrosis factor (TNF) pathways. Of note, the transforming growth factor (TGF)-beta signaling pathway, which is the master regulator of organ fibrosis, was enriched in both patients and mice. Cross-species analysis showed 16 key TRFs that might mediate obstructive nephropathy in patients and UUO mice. Moreover, we verified a significant dysregulation of three previously unexplored TRFs; prohibitin (PHB), regulatory factor X 1 (RFX1), and activity-dependent neuroprotector homeobox protein (ADNP), in patients and mice. CONCLUSIONS: Our study uncovered key TRFs in the obstructed kidneys and provided additional molecular insights into obstructive nephropathy.",Renal failure,https://doi.org/10.1080/0886022X.2024.2443032
39709554,Faecal metaproteomics analysis reveals a high cardiovascular risk profile across healthy individuals and heart failure patients.,12/2025,0.553,"The gut microbiota is a crucial link between diet and cardiovascular disease (CVD). Using fecal metaproteomics, a method that concurrently captures human gut and microbiome proteins, we determined the crosstalk between gut microbiome, diet, gut health, and CVD. Traditional CVD risk factors (age, BMI, sex, blood pressure) explained < 10% of the proteome variance. However, unsupervised human protein-based clustering analysis revealed two distinct CVD risk clusters (low-risk and high-risk) with different blood pressure (by 9 mmHg) and sex-dependent dietary potassium and fiber intake. In the human proteome, the low-risk group had lower angiotensin-converting enzymes, inflammatory proteins associated with neutrophil extracellular trap formation and auto-immune diseases. In the microbial proteome, the low-risk group had higher expression of phosphate acetyltransferase that produces SCFAs, particularly in fiber-fermenting bacteria. This model identified severity across phenotypes in heart failure patients and long-term risk of cardiovascular events in a large population-based cohort. These findings underscore multifactorial gut-to-host mechanisms that may underlie risk factors for CVD.",Gut microbes,https://doi.org/10.1080/19490976.2024.2441356
39697060,Proteomic analysis for busulfan-induced spermatogenesis disorder.,12/2025,0.553,"BACKGROUND: Busulfan is the most commonly used drug for the treatment of chronic myelogenous leukemia and pretreatment for hematopoietic stem cell transplantation, which can damage the reproductive and immune system. However, little is known about the protein expression profiling in busulfan treated testis. METHODS: This research studies the proteomics for busulfan-induced spermatogenesis disorder. The model of busulfan-induced mouse spermatogenesis disorder was subjected to label-free quantification proteomics analysis. Clustering heatmap, gene ontology, Kyoto Encyclopedia of Genes and Genomes (KEGG) pathway and protein interaction analyses were performed and validated by molecular experiments. RESULTS: The busulfan-treated mouse model showed abnormal testis morphology and reduced sperm number and testis weight. Testicular and sperm damage was most severe at 30 days after busulfan treatment. The busulfan-treated mouse testes were subjected to label-free quantification proteomics, which revealed 190 significantly downregulated proteins including lactate dehydrogenase A like 6B (LDHAL6B) and ubiquitin-specific protease 7 (USP7). In addition, the testis and spermatozoa in the epididymis progressively improved from 70 to 80 days after busulfan treatment, and that the testis weight and spermatozoa number gradually increased from 40 to 80 days after busulfan treatment. Western blotting revealed that LDHAL6B protein significantly increased at 10 days, decreased from 20 to 60 days, and then gradually elevated from 70 to 80 days after busulfan treatment. CONCLUSION: We revealed 190 significantly downregulated proteins in busulfan-treated mouse testes at 30 days and indicated that 70 days is the cut-off point of spermatogenic recovery for busulfan-treated mouse testis, increasing our understanding of this reproductive disorder model. An increased understanding of busulfan's toxic effect will help to prevent and treat reproductive diseases.",Annals of medicine,https://doi.org/10.1080/07853890.2024.2442534
39818336,"Metabolomics signatures of serotonin reuptake inhibitor (escitalopram), serotonin norepinephrine reuptake inhibitor (duloxetine) and cognitive-behavioral therapy on key neurotransmitter pathways in major depressive disorder.",4/2025,0.703,"Metabolomics provides powerful tools that can inform about heterogeneity in disease and response to treatments. In this exploratory study, we employed an electrochemistry-based targeted metabolomics platform to assess the metabolic effects of three randomly-assigned treatments: escitalopram, duloxetine, and Cognitive-Behavioral Therapy (CBT) in 163 treatment-naive outpatients with major depressive disorder. Serum samples from baseline and 12 weeks post-treatment were analyzed using targeted liquid chromatography-electrochemistry for metabolites related to tryptophan, tyrosine metabolism and related pathways. Changes in metabolite concentrations related to each treatment arm were identified and compared to define metabolic signatures of exposure. In addition, association between metabolites and depressive symptom severity (assessed with the 17-item Hamilton Rating Scale for Depression [HRSD(17)]) and anxiety symptom severity (assessed with the 14-item Hamilton Rating Scale for Anxiety [HRSA(14)]) were evaluated, both at baseline and after 12 weeks of treatment. Significant reductions in serum serotonin level and increases in tryptophan-derived indoles that are gut bacterially derived were observed with escitalopram and duloxetine arms but not in CBT arm. These include indole-3-propionic acid (I3PA), indole-3-lactic acid (I3LA) and Indoxyl sulfate (IS), a uremic toxin. Purine-related metabolites were decreased across all arms. Different metabolites correlated with improved symptoms in the different treatment arms revealing potentially different mechanisms between response to antidepressant medications and to CBT.",Journal of affective disorders,https://doi.org/10.1016/j.jad.2025.01.064
39789882,Long-term impact of molecular epidemiology shifts of methicillin-resistant Staphylococcus aureus on severity and mortality of bloodstream infection.,12/2025,0.553,"A 2019 nationwide study in Japan revealed the predominant methicillin-resistant Staphylococcus aureus (MRSA) types in bloodstream infections (BSIs) to be sequence type (ST)8-carrying SCCmec type IV (ST8-MRSA-IV) and clonal complex 1-carrying SCCmec type IV (CC1-MRSA-IV). However, detailed patient characteristics and how these MRSA types evolve over time remain largely unknown. In this long-term single-center study, MRSA strains isolated from blood cultures at Nagasaki University Hospital from 2012 to 2019 were sequenced and analyzed. Additionally, we compared the SCCmec types and patient characteristics identified in this study with previous data from our hospital spanning 2003-2007 and 2008-2011. Over this 16-year period, SCCmec type II decreased significantly from 79.2% to 15.5%, while type IV increased from 18.2% to 65.5%. This shift in SCCmec types was associated with notable changes in severity and outcomes; the sequential organ failure assessment (SOFA) score decreased from 5.8 to 3.1; in-hospital mortality declined from 39.8% to 15.5%. In contrast, no significant changes in patient demographics, such as age, sex, or underlying diseases, were observed. Between 2012 and 2019, the major combinations of SCCmec type and sequence type were ST8-MRSA-IV, ST8-MRSA-I, CC1-MRSA-IV, and ST5-MRSA-II. Additionally, ST8-MRSA-IV was divided into CA-MRSA/J, t5071-ST8-MRSA-IV, and USA300-like clone based on the results of molecular analysis. These major combinations showed similar drug resistance patterns, molecular characteristics, and phylogenetic features to those identified in nationwide surveillance. This study highlights the evolving nature of MRSA types in bloodstream infections, correlating with improved patient outcomes over time.",Emerging microbes & infections,https://doi.org/10.1080/22221751.2024.2449085
39760260,Unravelling distinct patterns of metagenomic surveillance and respiratory microbiota between two P1 genotypes of Mycoplasma pneumoniae.,12/2025,0.553,"To unravel distinct patterns of metagenomic surveillance and respiratory microbiota between Mycoplasma pneumoniae (M. pneumoniae) P1-1 and P1-2 and to explore the impact of the COVID-19 pandemic on epidemiological features, we conducted a multicentre retrospective study which spanned 90,886 pneumonia patients, among which 3164 cases M. pneumoniae were identified. Our findings revealed a concurrent outbreak of M. pneumoniae, with the positivity rate rising sharply to 9.62% from July 2023, compared to the 0.16% to 4.06% positivity rate observed during the 2020-2022 COVID-19 pandemic. P1-1 had a higher odds ratio of co-detecting opportunistic pathogens. However, no significant differences were observed in the co-detection odds ratio between children and other age groups in P1-2. This study is the first to demonstrate differences in relative abundance, diversity of respiratory microbiota and co-detection rate of opportunistic pathogen between M. pneumoniae P1-1 and P1-2. Through bronchoalveolar lavage (BAL) metagenomic and host transcriptomic analyses, we identified variations in co-detection rates of M. pneumoniae P1-1 genotype with opportunistic pathogens like S. pneumoniae, alterations in respiratory microbiota composition, lung inflammation, and disruption of ciliary function. Consistent with the results of host transcriptome, we found that P1-1 infections were associated with significantly higher rates of requiring respiratory support and mechanical ventilation compared to P1-2 infections (Fisher's exact test, p-value = 0.035/0.004). Our study provides preliminary evidence of clinical severity between M. pneumoniae strains, underscoring the need for ongoing research and development of targeted therapeutic strategies.",Emerging microbes & infections,https://doi.org/10.1080/22221751.2024.2449087
39749683,"Using network pharmacology and molecular docking technology, proteomics and experiments were used to verify the effect of Yigu decoction (YGD) on the expression of key genes in osteoporotic mice.",12/2025,0.553,"BACKGROUND: Yigu decoction (YGD) is a traditional Chinese medicine prescription for the treatment of osteoporosis, although many clinical studies have confirmed its anti-OP effect, but the specific mechanism is still not completely clear. METHODS: In this study, through the methods of network pharmacology and molecular docking, the material basis and action target of YGD in preventing and treating OP were analyzed, and the potential target and mechanism of YGD in preventing and treating OP were clarified by TMT quantitative protein and experiment. RESULTS: Network pharmacology and molecular docking revealed that the active components of YGD were mainly stigmasterol and flavonoids. Molecular docking mainly studied the strong binding ability of stigmasterol to the target. Animal proteomics verified the related mechanism of YGD in preventing and treating OP. Based on the KEGG enrichment of network pharmacology and histology, our animal experiments in vivo verified that YGD may play a role in the treatment of OP by mediating hif1- alpha/vegf/glut1 signal pathway. CONCLUSIONS: YGD prevention and treatment of OP may be achieved by interfering with multiple targets. This study confirmed that it may promote osteoblast proliferation and protect osteoblast function by up-regulating the expression of proteins related to HIF signal pathway.",Annals of medicine,https://doi.org/10.1080/07853890.2024.2449225
39743726,Proteomics reveals the key transcription-related factors mediating obstructive nephropathy in pediatric patients and mice.,12/2025,0.553,"BACKGROUND: Obstructive nephropathy is one of the leading causes of kidney injury in infants and children. Increasing evidence has shown that transcription-related factors (TRFs), including transcription factors and cofactors, are associated with kidney diseases. However, a global landscape of dysregulated TRFs in pediatric patients with obstructive nephropathy is lacking. METHODS: We mined the data from our previous proteomic study for the TRF profile in pediatric patients with obstructive nephropathy and unilateral ureteral obstruction (UUO) mice. Gene ontology (GO) analysis was performed to determine pathways that were enriched in the dysregulated TRFs. We then took advantage of kidney samples from patients and UUO mice to verify the selected TRFs by immunoblots. RESULTS: The proteomes identified a total of 140 human TRFs with 28 upregulated and 1 downregulated, and 160 murine TRFs with 88 upregulated and 1 downregulated (fold change >2 or <0.5). These dysregulated TRFs were enriched in the inflammatory signalings, such as janus kinase/signal transducer and activator of transcription (JAK-STAT) and tumor necrosis factor (TNF) pathways. Of note, the transforming growth factor (TGF)-beta signaling pathway, which is the master regulator of organ fibrosis, was enriched in both patients and mice. Cross-species analysis showed 16 key TRFs that might mediate obstructive nephropathy in patients and UUO mice. Moreover, we verified a significant dysregulation of three previously unexplored TRFs; prohibitin (PHB), regulatory factor X 1 (RFX1), and activity-dependent neuroprotector homeobox protein (ADNP), in patients and mice. CONCLUSIONS: Our study uncovered key TRFs in the obstructed kidneys and provided additional molecular insights into obstructive nephropathy.",Renal failure,https://doi.org/10.1080/0886022X.2024.2443032
39709554,Faecal metaproteomics analysis reveals a high cardiovascular risk profile across healthy individuals and heart failure patients.,12/2025,0.553,"The gut microbiota is a crucial link between diet and cardiovascular disease (CVD). Using fecal metaproteomics, a method that concurrently captures human gut and microbiome proteins, we determined the crosstalk between gut microbiome, diet, gut health, and CVD. Traditional CVD risk factors (age, BMI, sex, blood pressure) explained < 10% of the proteome variance. However, unsupervised human protein-based clustering analysis revealed two distinct CVD risk clusters (low-risk and high-risk) with different blood pressure (by 9 mmHg) and sex-dependent dietary potassium and fiber intake. In the human proteome, the low-risk group had lower angiotensin-converting enzymes, inflammatory proteins associated with neutrophil extracellular trap formation and auto-immune diseases. In the microbial proteome, the low-risk group had higher expression of phosphate acetyltransferase that produces SCFAs, particularly in fiber-fermenting bacteria. This model identified severity across phenotypes in heart failure patients and long-term risk of cardiovascular events in a large population-based cohort. These findings underscore multifactorial gut-to-host mechanisms that may underlie risk factors for CVD.",Gut microbes,https://doi.org/10.1080/19490976.2024.2441356
39697060,Proteomic analysis for busulfan-induced spermatogenesis disorder.,12/2025,0.553,"BACKGROUND: Busulfan is the most commonly used drug for the treatment of chronic myelogenous leukemia and pretreatment for hematopoietic stem cell transplantation, which can damage the reproductive and immune system. However, little is known about the protein expression profiling in busulfan treated testis. METHODS: This research studies the proteomics for busulfan-induced spermatogenesis disorder. The model of busulfan-induced mouse spermatogenesis disorder was subjected to label-free quantification proteomics analysis. Clustering heatmap, gene ontology, Kyoto Encyclopedia of Genes and Genomes (KEGG) pathway and protein interaction analyses were performed and validated by molecular experiments. RESULTS: The busulfan-treated mouse model showed abnormal testis morphology and reduced sperm number and testis weight. Testicular and sperm damage was most severe at 30 days after busulfan treatment. The busulfan-treated mouse testes were subjected to label-free quantification proteomics, which revealed 190 significantly downregulated proteins including lactate dehydrogenase A like 6B (LDHAL6B) and ubiquitin-specific protease 7 (USP7). In addition, the testis and spermatozoa in the epididymis progressively improved from 70 to 80 days after busulfan treatment, and that the testis weight and spermatozoa number gradually increased from 40 to 80 days after busulfan treatment. Western blotting revealed that LDHAL6B protein significantly increased at 10 days, decreased from 20 to 60 days, and then gradually elevated from 70 to 80 days after busulfan treatment. CONCLUSION: We revealed 190 significantly downregulated proteins in busulfan-treated mouse testes at 30 days and indicated that 70 days is the cut-off point of spermatogenic recovery for busulfan-treated mouse testis, increasing our understanding of this reproductive disorder model. An increased understanding of busulfan's toxic effect will help to prevent and treat reproductive diseases.",Annals of medicine,https://doi.org/10.1080/07853890.2024.2442534
